input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,match_status,source_origin_country,source_birth_place,source_current_residence,source_wikidata_id,source_wiki_url,usable_for_network,triage_reason,promotion_source,promotion_reason
MamaRika,MamaRika,d30d67bd-87ba-4480-b0d9-9da5bc306888,UA,Person,"Ukrainian singer Anastasiya Kotchetova, formerly Erika",auto_accept,Ukraine,Sheptytskyi,Ukraine,Q3056591,https://en.wikipedia.org/wiki/MamaRika,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Karl Doppler,Karl Doppler,ae8620b8-fc84-4a69-8611-ea6dee738e83,HU,Person,,auto_accept,Ukraine,Lviv,Cisleithania,Q67497,https://en.wikipedia.org/wiki/Karl_Doppler,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Eduard Steuermann,Eduard Steuermann,e088bed0-4f08-48ac-b48f-d69052580ee8,AT,Person,pianist and composer,auto_accept,Ukraine,Sambir,United States,Q214108,https://en.wikipedia.org/wiki/Eduard_Steuermann,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Svitlana Azarova,Svitlana Azarova,ca2e1c69-be90-49ab-917d-3b679053293f,UA,Person,,auto_accept,Ukraine,Izmail,The Hague,Q455606,https://en.wikipedia.org/wiki/Svitlana_Azarova,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Aleksander Michałowski,Aleksander Michałowski,8af15dfb-2d72-4578-9165-464bc1479874,PL,Person,,auto_accept,Ukraine,Kamianets-Podilskyi,Poland,Q1220637,https://en.wikipedia.org/wiki/Aleksander_Micha%C5%82owski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ignacy Feliks Dobrzyński,Ignacy Feliks Dobrzyński,c7a1d08c-21f3-4457-a3f7-9e443884259d,PL,Person,,auto_accept,Ukraine,Romaniv,Poland,Q1622085,https://en.wikipedia.org/wiki/Ignacy_Feliks_Dobrzy%C5%84ski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Witold Maliszewski,Witold Maliszewski,dac7eb38-3ad9-4f9f-899e-8848e6f20ed2,PL,Person,composer,auto_accept,Ukraine,Mohyliv-Podilskyi,Saint Petersburg,Q2094426,https://en.wikipedia.org/wiki/Witold_Maliszewski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Vladimir de Pachmann,Vladimir de Pachmann,3df93115-609c-4305-abf3-8a9c91c7704a,UA,Person,pianist,auto_accept,Ukraine,Odesa,Kingdom of Italy,Q674861,https://en.wikipedia.org/wiki/Vladimir_de_Pachmann,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Maria Sur,Maria Sur,b57f0ac2-65f7-466b-ade8-19ad291157bd,SE,Person,,auto_accept,Ukraine,Zaporizhzhia,Sweden,Q116733141,https://en.wikipedia.org/wiki/Maria_Sur,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Karol Rathaus,Karol Rathaus,514bcb56-d5c2-46e1-b022-8cb9fa58f9b6,UA,Person,,auto_accept,Ukraine,Ternopil,Austria,Q84660,https://en.wikipedia.org/wiki/Karol_Rathaus,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Marian Hemar,Marian Hemar,de5ae606-4a76-4903-93f8-c5a45cc74bb5,PL,Person,,auto_accept,Ukraine,Lviv,Poland,Q367234,https://en.wikipedia.org/wiki/Marian_Hemar,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
