input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,score,match_status,notes,source_name,source_wikidata_id,source_origin_country,source_birth_place,source_current_residence,source_wiki_url
Alena Apina,Алёна Апина,4b4fa19b-d8a2-4d2b-80ca-5376441a9166,RU,Person,,100,review_needed,Candidate needs manual review.,Alena Apina,Q4067997,Russia,Saratov,Russia,https://en.wikipedia.org/wiki/Alyona_Apina
Olga Borodina,Ольга Бородина,0fc64e19-fa69-4599-8e83-9c54de47dac3,RU,Person,mezzo-soprano,100,review_needed,Candidate is disambiguated and should be checked manually.,Olga Borodina,Q24166,Russia,Saint Petersburg,Russia,https://en.wikipedia.org/wiki/Olga_Borodina
Waldemar Klingelhöfer,Bodo Klingelhöfer,9ea20e15-d082-4aec-bc0c-292543d1f9d3,DE,Person,,100,review_needed,Candidate needs manual review.,Waldemar Klingelhöfer,Q66877,Russia,Moscow,Kassel,https://en.wikipedia.org/wiki/Waldemar_Klingelh%C3%B6fer
Valeria Barsova,Inna Barsova,e45535de-066e-4b48-a524-b02aec43eff1,,Person,,100,review_needed,Candidate needs manual review.,Valeria Barsova,Q670917,Russia,Astrakhan,Soviet Union,https://en.wikipedia.org/wiki/Valeria_Barsova
Asaf Zeynally,Asəf Zeynallı,9c3acabb-b975-421c-a459-44cee0311658,SU,Person,,100,auto_accept,High score and strong name similarity.,Asaf Zeynally,Q4190194,Russia,Derbent,Azerbaijan Democratic Republic,https://en.wikipedia.org/wiki/Asaf_Zeynally
Félia Litvinne,Félia Litvinne,a605e6dc-7481-47fa-a904-aabb185ed0f5,FR,Person,soprano,100,auto_accept,Very high score and near-exact name match.,Félia Litvinne,Q952599,Russia,Saint Petersburg,France,https://en.wikipedia.org/wiki/F%C3%A9lia_Litvinne
Yuri Bykov,Yuri,40bad6e2-77f9-47b7-b0da-ffe035a10f67,MX,Person,Mexican singer,100,review_needed,Candidate is disambiguated and should be checked manually.,Yuri Bykov,Q17582593,Russia,Novomichurinsk,Russia,https://en.wikipedia.org/wiki/Yuri_Bykov
Winirä Ğimadievä,Venera Gimadieva,93ea03a0-6388-4a7a-948d-82b5d2dfc544,RU,Person,Russian soprano,100,review_needed,Candidate is disambiguated and should be checked manually.,Winirä Ğimadievä,Q20579311,Russia,Kazan,Russia,https://en.wikipedia.org/wiki/Venera_Gimadieva
Georgy Guryanov,Georgy,a29309ae-8eb4-48fc-8119-6bcc94a49b1e,,,,100,review_needed,Candidate needs manual review.,Georgy Guryanov,Q343456,Russia,Saint Petersburg,Russia,https://en.wikipedia.org/wiki/Georgy_Guryanov
Yakov Kreizberg,Yakov Kreizberg,b9c7f17a-5c04-42a3-a243-1ec4f759366e,US,Person,,100,auto_accept,Very high score and near-exact name match.,Yakov Kreizberg,Q944723,Russia,Saint Petersburg,Soviet Union,https://en.wikipedia.org/wiki/Yakov_Kreizberg
Yuri Simonov,Юрий Симонов,6dd40b6a-3b95-4e01-99ed-13d05628e67b,RU,Person,Soviet and Russian conductor,100,review_needed,Candidate is disambiguated and should be checked manually.,Yuri Simonov,Q2343238,Russia,Saratov,Russia,https://en.wikipedia.org/wiki/Yuri_Simonov
Sophie Milman,Sophie Milman,bd3deba0-d5f7-4c67-b840-36ce967b035b,CA,Person,,100,auto_accept,Very high score and near-exact name match.,Sophie Milman,Q289671,Russia,Ufa,Canada,https://en.wikipedia.org/wiki/Sophie_Milman
