wikidata_id,name,origin_country,month,views
Q118233,Sergey Kuryokhin,Russia,2023-07,1286
Q118233,Sergey Kuryokhin,Russia,2023-08,1211
Q118233,Sergey Kuryokhin,Russia,2023-09,1239
Q118233,Sergey Kuryokhin,Russia,2023-10,1329
Q118233,Sergey Kuryokhin,Russia,2023-11,1604
Q118233,Sergey Kuryokhin,Russia,2023-12,1449
Q131861,Sergei Rachmaninoff,Russia,2021-01,53653
Q131861,Sergei Rachmaninoff,Russia,2021-02,48675
Q131861,Sergei Rachmaninoff,Russia,2021-03,61984
Q131861,Sergei Rachmaninoff,Russia,2021-04,58008
Q131861,Sergei Rachmaninoff,Russia,2021-05,54133
Q131861,Sergei Rachmaninoff,Russia,2021-06,40275
Q131861,Sergei Rachmaninoff,Russia,2021-07,41716
Q131861,Sergei Rachmaninoff,Russia,2021-08,41850
Q131861,Sergei Rachmaninoff,Russia,2021-09,41970
Q131861,Sergei Rachmaninoff,Russia,2021-10,45370
Q131861,Sergei Rachmaninoff,Russia,2021-11,46152
Q131861,Sergei Rachmaninoff,Russia,2021-12,43570
Q131861,Sergei Rachmaninoff,Russia,2022-01,54222
Q131861,Sergei Rachmaninoff,Russia,2022-02,53132
Q131861,Sergei Rachmaninoff,Russia,2022-03,65130
Q131861,Sergei Rachmaninoff,Russia,2022-04,55534
Q131861,Sergei Rachmaninoff,Russia,2022-05,45883
Q131861,Sergei Rachmaninoff,Russia,2022-06,39257
Q131861,Sergei Rachmaninoff,Russia,2022-07,39528
Q131861,Sergei Rachmaninoff,Russia,2022-08,45550
Q131861,Sergei Rachmaninoff,Russia,2022-09,43538
Q131861,Sergei Rachmaninoff,Russia,2022-10,46176
Q131861,Sergei Rachmaninoff,Russia,2022-11,46486
Q131861,Sergei Rachmaninoff,Russia,2022-12,43287
Q131861,Sergei Rachmaninoff,Russia,2023-01,61355
Q131861,Sergei Rachmaninoff,Russia,2023-02,58715
Q131861,Sergei Rachmaninoff,Russia,2023-03,74815
Q131861,Sergei Rachmaninoff,Russia,2023-04,76772
Q131861,Sergei Rachmaninoff,Russia,2023-05,60618
Q131861,Sergei Rachmaninoff,Russia,2023-06,51444
Q131861,Sergei Rachmaninoff,Russia,2023-07,52346
Q131861,Sergei Rachmaninoff,Russia,2023-08,58581
Q131861,Sergei Rachmaninoff,Russia,2023-09,54313
Q131861,Sergei Rachmaninoff,Russia,2023-10,54490
Q131861,Sergei Rachmaninoff,Russia,2023-11,55414
Q131861,Sergei Rachmaninoff,Russia,2023-12,56787
Q128746,Irving Berlin,Russia,2021-01,33025
Q128746,Irving Berlin,Russia,2021-02,24472
Q128746,Irving Berlin,Russia,2021-03,28011
Q128746,Irving Berlin,Russia,2021-04,28571
Q128746,Irving Berlin,Russia,2021-05,31880
Q128746,Irving Berlin,Russia,2021-06,25561
Q128746,Irving Berlin,Russia,2021-07,27946
Q128746,Irving Berlin,Russia,2021-08,23566
Q128746,Irving Berlin,Russia,2021-09,27176
Q128746,Irving Berlin,Russia,2021-10,26403
Q128746,Irving Berlin,Russia,2021-11,31739
Q128746,Irving Berlin,Russia,2021-12,73402
Q128746,Irving Berlin,Russia,2022-01,28375
Q128746,Irving Berlin,Russia,2022-02,24835
Q128746,Irving Berlin,Russia,2022-03,26043
Q128746,Irving Berlin,Russia,2022-04,24875
Q128746,Irving Berlin,Russia,2022-05,30529
Q128746,Irving Berlin,Russia,2022-06,21970
Q128746,Irving Berlin,Russia,2022-07,25353
Q128746,Irving Berlin,Russia,2022-08,26510
Q128746,Irving Berlin,Russia,2022-09,26376
Q128746,Irving Berlin,Russia,2022-10,26608
Q128746,Irving Berlin,Russia,2022-11,34545
Q128746,Irving Berlin,Russia,2022-12,76457
Q128746,Irving Berlin,Russia,2023-01,30403
Q128746,Irving Berlin,Russia,2023-02,25439
Q128746,Irving Berlin,Russia,2023-03,31066
Q128746,Irving Berlin,Russia,2023-04,27818
Q128746,Irving Berlin,Russia,2023-05,34737
Q128746,Irving Berlin,Russia,2023-06,37059
Q128746,Irving Berlin,Russia,2023-07,42492
Q128746,Irving Berlin,Russia,2023-08,33528
Q128746,Irving Berlin,Russia,2023-09,28688
Q128746,Irving Berlin,Russia,2023-10,25609
Q128746,Irving Berlin,Russia,2023-11,36776
Q128746,Irving Berlin,Russia,2023-12,82002
Q132682,Modest Petrovich Mussorgsky,Russia,2021-01,16709
Q132682,Modest Petrovich Mussorgsky,Russia,2021-02,15641
Q132682,Modest Petrovich Mussorgsky,Russia,2021-03,20303
Q132682,Modest Petrovich Mussorgsky,Russia,2021-04,18182
Q132682,Modest Petrovich Mussorgsky,Russia,2021-05,15917
Q132682,Modest Petrovich Mussorgsky,Russia,2021-06,12586
Q132682,Modest Petrovich Mussorgsky,Russia,2021-07,12498
Q132682,Modest Petrovich Mussorgsky,Russia,2021-08,13223
Q132682,Modest Petrovich Mussorgsky,Russia,2021-09,13818
Q132682,Modest Petrovich Mussorgsky,Russia,2021-10,18148
Q132682,Modest Petrovich Mussorgsky,Russia,2021-11,15659
Q132682,Modest Petrovich Mussorgsky,Russia,2021-12,14034
Q132682,Modest Petrovich Mussorgsky,Russia,2022-01,19460
Q132682,Modest Petrovich Mussorgsky,Russia,2022-02,21982
Q132682,Modest Petrovich Mussorgsky,Russia,2022-03,29962
Q132682,Modest Petrovich Mussorgsky,Russia,2022-04,18816
Q132682,Modest Petrovich Mussorgsky,Russia,2022-05,18525
Q132682,Modest Petrovich Mussorgsky,Russia,2022-06,13662
Q132682,Modest Petrovich Mussorgsky,Russia,2022-07,12786
Q132682,Modest Petrovich Mussorgsky,Russia,2022-08,14419
Q132682,Modest Petrovich Mussorgsky,Russia,2022-09,13719
Q132682,Modest Petrovich Mussorgsky,Russia,2022-10,17131
Q132682,Modest Petrovich Mussorgsky,Russia,2022-11,16637
Q132682,Modest Petrovich Mussorgsky,Russia,2022-12,16559
Q132682,Modest Petrovich Mussorgsky,Russia,2023-01,17277
Q132682,Modest Petrovich Mussorgsky,Russia,2023-02,18268
Q132682,Modest Petrovich Mussorgsky,Russia,2023-03,20129
Q132682,Modest Petrovich Mussorgsky,Russia,2023-04,14899
Q132682,Modest Petrovich Mussorgsky,Russia,2023-05,15968
Q132682,Modest Petrovich Mussorgsky,Russia,2023-06,13930
