name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Masha Efrosynina,Q438402,Ukraine,Kerch,Ukraine,https://en.wikipedia.org/wiki/Masha_Efrosynina
Gosha Kutsenko,Q1385036,Ukraine,Zaporizhzhia,Russia,https://en.wikipedia.org/wiki/Gosha_Kutsenko
Nadya Dorofeeva,Q16698229,Ukraine,Simferopol,Ukraine,https://en.wikipedia.org/wiki/Dorofeeva
Yevhen Stankovych,Q200892,Ukraine,Svaliava,Soviet Union,https://en.wikipedia.org/wiki/Yevhen_Stankovych
Abraham Goldfaden,Q330024,Ukraine,Starokostiantyniv,Kingdom of Romania,https://en.wikipedia.org/wiki/Abraham_Goldfaden
Igor Markevitch,Q503355,Ukraine,Kyiv,Moscow,https://en.wikipedia.org/wiki/Igor_Markevitch
Alexander Vertinsky,Q516281,Ukraine,Kyiv,Greece,https://en.wikipedia.org/wiki/Alexander_Vertinsky
Nikocado Avocado,Q105593316,Ukraine,Kherson,United States,https://en.wikipedia.org/wiki/Nikocado_Avocado
Arkady Luxemburg,Q4272163,Ukraine,Zhytomyr,Israel,https://en.wikipedia.org/wiki/Arkady_Luxemburg
Anastasiya Petryk,Q277168,Ukraine,Odesa,Ukraine,https://en.wikipedia.org/wiki/Anastasiya_Petryk
Elina Bystritskaya,Q2370750,Ukraine,Kyiv,Russia,https://en.wikipedia.org/wiki/Elina_Bystritskaya
Heinrich Schenker,Q531995,Ukraine,Vyshnivchyk,Austria,https://en.wikipedia.org/wiki/Heinrich_Schenker
Emanuel Feuermann,Q112171,Ukraine,Kolomyia,Austria,https://en.wikipedia.org/wiki/Emanuel_Feuermann
Roman Vlad,Q2343525,Ukraine,Chernivtsi,Rome,https://en.wikipedia.org/wiki/Roman_Vlad
Igor Oistrakh,Q538219,Ukraine,Odesa,Russia,https://en.wikipedia.org/wiki/Igor_Oistrakh
Klavdiya Shulzhenko,Q292875,Ukraine,Kharkiv,Soviet Union,https://en.wikipedia.org/wiki/Klavdiya_Shulzhenko
Ana Layevska,Q698094,Ukraine,Kyiv,Kyiv,https://en.wikipedia.org/wiki/Ana_Layevska
Lolita Milyavskaya,Q1972714,Ukraine,Mukachevo,Israel,https://en.wikipedia.org/wiki/Lolita_Milyavskaya
Dmitry Gordon,Q4143897,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Dmitry_Gordon
Artem Pyvovarov,Q23656293,Ukraine,Vovchansk,Ukraine,https://en.wikipedia.org/wiki/Artem_Pyvovarov
Franz Doppler,Q711460,Ukraine,Lviv,Austria–Hungary,https://en.wikipedia.org/wiki/Franz_Doppler
Levko Revutsky,Q596947,Ukraine,Irzhavets,Russian Empire,https://en.wikipedia.org/wiki/Levko_Revutsky
Serhii Sternenko,Q47489230,Ukraine,Sadove,Ukraine,https://en.wikipedia.org/wiki/Serhii_Sternenko
Yuri Shaporin,Q963055,Ukraine,Hlukhiv,Russian Empire,https://en.wikipedia.org/wiki/Yuri_Shaporin
Estás Tonné,Q17254154,Ukraine,Zaporizhzhia,Zaporizhzhia,https://en.wikipedia.org/wiki/Estas_Tonne
Joseph Schmidt,Q94513,Ukraine,Davydivka,Berlin,https://en.wikipedia.org/wiki/Joseph_Schmidt
Emanuel Ax,Q505563,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Emanuel_Ax
Hanka Bielicka,Q428422,Ukraine,Poltava,Poland,https://en.wikipedia.org/wiki/Hanka_Bielicka
Sofia Tarasova,Q14627544,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Sofia_Tarasova
Mischa Elman,Q1391355,Ukraine,Talne,United States,https://en.wikipedia.org/wiki/Mischa_Elman
Mariana Sadovska,Q521717,Ukraine,Lviv,Ukraine,https://en.wikipedia.org/wiki/Mariana_Sadovska
Yan Frenkel,Q771374,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Yan_Frenkel
Aleksandr Gauk,Q972169,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Alexander_Gauk
Leo Ornstein,Q1558656,Ukraine,Kremenchuk,United States,https://en.wikipedia.org/wiki/Leo_Ornstein
Alla Zahaikevych,Q1981300,Ukraine,Khmelnytskyi,Soviet Union,https://en.wikipedia.org/wiki/Alla_Zahaikevych
Felix Blumenfeld,Q1349550,Ukraine,Q12111027,Russian Empire,https://en.wikipedia.org/wiki/Felix_Blumenfeld
Volodymyr Melnykov,Q12122449,Ukraine,Chernivtsi,Soviet Union,https://en.wikipedia.org/wiki/Volodymyr_Melnykov
Oksana Lyniv,Q2017541,Ukraine,Brody,Ukraine,https://en.wikipedia.org/wiki/Oksana_Lyniv
Dasha Astafieva,Q2302686,Ukraine,Pokrov,Ukraine,https://en.wikipedia.org/wiki/Dasha_Astafieva
Alla Kudlai,Q12115430,Ukraine,Losynivka,Soviet Union,https://en.wikipedia.org/wiki/Alla_Kudlai
Konstantin Lopushansky,Q1364690,Ukraine,Dnipro,Russia,https://en.wikipedia.org/wiki/Konstantin_Lopushansky
Emil Paur,Q78982,Ukraine,Chernivtsi,Místek,https://en.wikipedia.org/wiki/Emil_Paur
Vladimir Shainsky,Q674048,Ukraine,Kyiv,Israel,https://en.wikipedia.org/wiki/Vladimir_Shainsky
Edvin Marton,Q441053,Ukraine,Vilok,Hungary,https://en.wikipedia.org/wiki/Edvin_Marton
Semen Hulak-Artemovsky,Q1400433,Ukraine,Horodyshche,Russian Empire,https://en.wikipedia.org/wiki/Semen_Hulak-Artemovsky
Hnat Khotkevych,Q2592547,Ukraine,Kharkiv,Russian Empire,https://en.wikipedia.org/wiki/Hnat_Khotkevych
Viktoria Leléka,Q111127206,Ukraine,Shakhtarske,Ukraine,https://en.wikipedia.org/wiki/Viktoria_Lel%C3%A9ka
Anna Fedorova,Q125885,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Anna_Fedorova
Vasyl Barvinsky,Q4078084,Ukraine,Ternopil,Austria–Hungary,https://en.wikipedia.org/wiki/Vasyl_Barvinsky
Shura Cherkassky,Q713428,Ukraine,Odesa,United States,https://en.wikipedia.org/wiki/Shura_Cherkassky
Sergei Bortkiewicz,Q742149,Ukraine,Kharkiv,Austria,https://en.wikipedia.org/wiki/Sergei_Bortkiewicz
Benno Moiseiwitsch,Q817970,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Benno_Moiseiwitsch
Mieczysław Horszowski,Q918339,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Mieczys%C5%82aw_Horszowski
Antonina Nezhdanova,Q2450734,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Antonina_Nezhdanova
Lidiya Lipkovskaya,Q3389824,Ukraine,Babyn,Romania,https://en.wikipedia.org/wiki/Lydia_Lipkowska
Anzhelina Shvachka,Q12171389,Ukraine,Dnipro,Ukraine,https://en.wikipedia.org/wiki/Anzhelina_Shvachka
Alexey Razumovsky,Q918514,Ukraine,Lemeshi (Kozeletskii raion),Russian Empire,https://en.wikipedia.org/wiki/Alexei_Razumovsky
Taisiia Povalii,Q1984215,Ukraine,Shamrayivka,Moscow,https://en.wikipedia.org/wiki/Taisia_Povaliy
Pavlo Vyshebaba,Q65209556,Ukraine,Kramatorsk,Ukraine,https://en.wikipedia.org/wiki/Pavlo_Vyshebaba
Moriz Rosenthal,Q213772,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Moriz_Rosenthal
Potap,Q1879459,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Potap
Victoria Bulitko,Q4098935,Ukraine,Zaporizhzhia,Ukraine,https://en.wikipedia.org/wiki/Victoria_Bulitko
Stanisław Skrowaczewski,Q961581,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Skrowaczewski
Pyotr Leshchenko,Q1188776,Ukraine,Isaieve,Kingdom of Romania,https://en.wikipedia.org/wiki/Pyotr_Leshchenko
Yolka,Q4053738,Ukraine,Uzhhorod,Russia,https://en.wikipedia.org/wiki/Yolka_(singer)
Viorica Ursuleac,Q270281,Ukraine,Chernivtsi,Romania,https://en.wikipedia.org/wiki/Viorica_Ursuleac
Karolina Protsenko,Q91313507,Ukraine,Kyiv,Simi Valley,https://en.wikipedia.org/wiki/Karolina_Protsenko
Alexander Brailowsky,Q946603,Ukraine,Kyiv,France,https://en.wikipedia.org/wiki/Alexander_Brailowsky
Nadia Meiher,Q2391534,Ukraine,Zbruchivka,Ukraine,https://en.wikipedia.org/wiki/Nadia_Meiher
Marusia Churai,Q2497569,Ukraine,Poltava,Polish–Lithuanian Commonwealth,https://en.wikipedia.org/wiki/Marusia_Churai
